email, senha
0.730894892285285@mail.com,user123            
0.5485111395168485@mail.com,user123 
0.46536204695933747@mail.com,user123
0.5992119089240684@mail.com,user123 
0.5883450004389181@mail.com,user123 
0.22039568204660756@mail.com,user123
0.8875047858075493@mail.com,user123 
0.2615251528339983@mail.com,user123 
0.49764899358518155@mail.com,user123
0.32552513635733493@mail.com,user123
0.024369318535562796@mail.com,user12
0.1766609492414447@mail.com,user123 
0.22210895842973827@mail.com,user123
0.6148121187227117@mail.com,user123 
0.6208818745305713@mail.com,user123 
0.6364210923345943@mail.com,user123 
0.31680599358205097@mail.com,user123
0.2495307835283709@mail.com,user123 
0.8709675351795702@mail.com,user123 
0.6738749068445969@mail.com,user123 
0.20551405989071878@mail.com,user123
0.9431308298085801@mail.com,user123 
0.023183049255382004@mail.com,user12
0.4126394173218884@mail.com,user123 
0.4351062245809118@mail.com,user123 
0.06414150148028594@mail.com,user123
0.6411542788762908@mail.com,user123 
0.02289525873776186@mail.com,user123
0.8565297592524178@mail.com,user123 
0.31512085384320815@mail.com,user123
0.5449140406913011@mail.com,user123 
0.7246691879955321@mail.com,user123 
0.7632568560769142@mail.com,user123 
0.19143961185701197@mail.com,user123
0.671848002977925@mail.com,user123  
0.3719992738855424@mail.com,user123 
0.836229537907541@mail.com,user123  
0.05080076359052975@mail.com,user123
0.26857232306299483@mail.com,user123
0.3761101082742256@mail.com,user123 
0.8371875668546408@mail.com,user123 
0.6563240186635263@mail.com,user123 
0.8311084275712337@mail.com,user123 
0.7063752466338166@mail.com,user123 
0.4608719601122149@mail.com,user123 
0.9073924548356447@mail.com,user123 
0.7803031122832707@mail.com,user123 
0.475538249176676@mail.com,user123  
0.40189700208109064@mail.com,user123
0.9691701077598103@mail.com,user123 
0.5212130745519232@mail.com,user123 
0.4749934706727239@mail.com,user123 
0.4918830190568081@mail.com,user123 
0.1317715442125345@mail.com,user123 
